disease,symptom,importance
ovarian cancer,infection,0.013
ovarian cyst,pain,0.785
ovarian cyst,nausea,0.303
ovarian cyst,cyst,0.198
ovarian cyst,abdominal pain,0.192
ovarian cyst,tenderness,0.115
ovarian cyst,vomiting,0.089
ovarian cyst,pelvic pain,0.087
ovarian cyst,diarrhea,0.069
ovarian cyst,lower abdominal pain,0.067
ovarian cyst,chills,0.058
ovarian cyst,vaginal bleeding,0.049
ovarian cyst,cramping,0.043
ovarian cyst,bleeding,0.039
ovarian cyst,vaginal discharge,0.037
ovarian cyst,spotting,0.036
ovarian cyst,pain during urination,0.029
ovarian cyst,discomfort,0.025
ovarian cyst,pain in lower abdomen,0.025
ovarian cyst,sharp pain,0.022
ovarian cyst,flank pain,0.021
ovarian cyst,constipation,0.018
ovarian cyst,fever,0.016
ovarian cyst,anxiety,0.013
ovarian cyst,pain in right lower abdomen,0.011
ovarian cyst,crying,0.01
pancreatitis,pain,0.709
pancreatitis,nausea,0.328
pancreatitis,abdominal pain,0.326
pancreatitis,vomiting,0.196
pancreatitis,pain in upper abdomen,0.158
pancreatitis,diarrhea,0.095
pancreatitis,acute episodes,0.069
pancreatitis,chills,0.055
pancreatitis,tenderness,0.028
pancreatitis,cyst,0.016
pancreatitis,upper abdominal pain,0.015
pancreatitis,vomiting blood,0.012
pancreatitis,weight loss,0.009
pancreatitis,depression,0.009
pancreatitis,loss of appetite,0.009
pancreatitis,sadness,0.009
pancreatitis,fever,0.008
pancreatitis,constipation,0.008
pancreatitis,flank pain,0.008
pancreatitis,severe pain,0.008
pancreatitis,yellow skin and eyes,0.007
pancreatitis,abdominal tenderness,0.006
pancreatitis,abdominal discomfort,0.006
parkinson's disease,weakness,0.075
parkinson's disease,confusion,0.049
parkinson's disease,tremor,0.039
parkinson's disease,mental confusion,0.035
parkinson's disease,lethargy,0.027
parkinson's disease,constipation,0.022
parkinson's disease,low blood pressure,0.017
parkinson's disease,agitation,0.017
parkinson's disease,hip pain,0.016
parkinson's disease,unsteady gait,0.012
parkinson's disease,delirium,0.011
parkinson's disease,slurred speech,0.011
parkinson's disease,falling,0.01
parkinson's disease,difficulty swallowing,0.008
parkinson's disease,fainting,0.008
parkinson's disease,visual hallucinations,0.008
parkinson's disease,tremor at rest,0.008
parkinson's disease,infection,0.008
parkinson's disease,coughing,0.007
parkinson's disease,dizziness,0.006
parkinson's disease,shortness of breath,0.006
parkinson's disease,difficulty walking,0.006
parkinson's disease,leaking of urine,0.006
parkinson's disease,urinary retention,0.006
parkinson's disease,malaise,0.005
parkinson's disease,cough with phlegm,0.005
parkinson's disease,incontinence,0.005
parkinson's disease,confusion in the evening hours,0.004
parkinson's disease,fatigue,0.004
parkinson's disease,hand tremor,0.004
parkinson's disease,failure to thrive,0.003
parkinson's disease,rectal pain,0.003
parkinson's disease,weight loss,0.003
parkinson's disease,tenderness,0.003
parkinson's disease,stiffness,0.003
parkinson's disease,difficulty speaking,0.003
parkinson's disease,difficulty breathing,0.003
parkinson's disease,restless legs syndrome,0.003
parkinson's disease,chronic cough,0.003
pink eye,redness,0.318
pink eye,eye redness,0.271
pink eye,eye pain,0.163
pink eye,itching,0.135
pink eye,swelling,0.133
pink eye,coughing,0.104
pink eye,sore throat,0.088
pink eye,discomfort,0.082
pink eye,eye irritation,0.069
pink eye,nasal congestion,0.048
pink eye,fever,0.041
pink eye,sensitivity to light,0.039
pink eye,blurred vision,0.038
pink eye,leaked fluid out of blood vessels or an organ,0.035
pink eye,skin rash,0.028
pink eye,cough with phlegm,0.027
pink eye,headache,0.025
pink eye,chills,0.024
pink eye,eye discharge,0.021
pink eye,infection,0.017
pink eye,stuffy nose,0.011
pink eye,swelling of the surface of the eye,0.01
pink eye,dryness,0.01
pink eye,facial swelling,0.01
pink eye,watery eyes,0.01
plantar fasciitis,heel pain,0.712
plantar fasciitis,pain,0.485
plantar fasciitis,foot pain,0.233
plantar fasciitis,swelling,0.092
plantar fasciitis,ankle pain,0.083
plantar fasciitis,tenderness,0.058
plantar fasciitis,limping,0.017
plantar fasciitis,leg pain,0.017
plantar fasciitis,bruising,0.013
plantar fasciitis,sharp pain,0.01
plantar fasciitis,severe pain,0.009
plantar fasciitis,blood in urine,0.009
plantar fasciitis,difficulty raising the foot,0.008
plantar fasciitis,redness,0.008
plantar fasciitis,mild pain,0.007
plantar fasciitis,scar,0.007
plantar fasciitis,blister,0.007
pleural effusion,shortness of breath,0.186
pleural effusion,coughing,0.116
pleural effusion,low oxygen in the body,0.047
pleural effusion,lethargy,0.036
pleural effusion,fluid in the abdomen,0.032
pleural effusion,cough with phlegm,0.032
pleural effusion,infection,0.025
pleural effusion,weakness,0.024
pleural effusion,fluid in the lungs,0.023
pleural effusion,fever,0.023
pleural effusion,dry cough,0.022
pleural effusion,fatigue,0.022
pleural effusion,wheezing,0.021
pleural effusion,collapse,0.02
pneumonia,coughing,0.402
pneumonia,fever,0.208
pneumonia,shortness of breath,0.156
pneumonia,cough with phlegm,0.138
pneumonia,chills,0.091
pneumonia,lethargy,0.063
pneumonia,low oxygen in the body,0.06
pneumonia,weakness,0.043
pneumonia,wheezing,0.042
pneumonia,fatigue,0.037
pneumonia,infection,0.034
pneumonia,dry cough,0.03
pneumonia,malaise,0.03
pneumonia,fast heart rate,0.027
pneumonia,confusion,0.024
pneumonia,phlegm,0.018
pneumonia,respiratory distress,0.018
pneumonia,low blood pressure,0.017
pneumonia,fast breathing,0.016
pneumonia,chest pain worsened by breathing,0.014
pneumonia,mental confusion,0.014
pneumonia,coughing up blood,0.013
pneumonia,diarrhea,0.012
pneumonia,sore throat,0.01
pneumonia,difficulty breathing,0.01
pneumonia,night sweats,0.009
pneumonia,persistent cough,0.009
pneumonia,fluid in the lungs,0.008
pneumothorax,shortness of breath,0.116
pneumothorax,pain,0.086
pneumothorax,rib pain,0.053
pneumothorax,coughing,0.05
pneumothorax,chest pain worsened by breathing,0.033
pneumothorax,discomfort,0.022
pneumothorax,bruising,0.018
pneumothorax,collapse,0.017
pneumothorax,back pain,0.014
pneumothorax,seizures,0.013
pneumothorax,fast heart rate,0.012
pneumothorax,chest discomfort,0.011
pneumothorax,cavity,0.01
pneumothorax,infection,0.009
pneumothorax,wheezing,0.009
pneumothorax,difficulty breathing,0.009
pneumothorax,shoulder pain,0.009
pneumothorax,confusion,0.008
pneumothorax,respiratory distress,0.008
pneumothorax,chronic cough,0.008
polycystic ovary syndrome,pain,0.412
polycystic ovary syndrome,nausea,0.177
polycystic ovary syndrome,cramping,0.08
polycystic ovary syndrome,abdominal pain,0.072
polycystic ovary syndrome,diarrhea,0.069
polycystic ovary syndrome,vaginal bleeding,0.061
polycystic ovary syndrome,pelvic pain,0.06
polycystic ovary syndrome,depression,0.059
polycystic ovary syndrome,sadness,0.058
polycystic ovary syndrome,dizziness,0.054
polycystic ovary syndrome,chills,0.051
polycystic ovary syndrome,bleeding,0.041
polycystic ovary syndrome,vomiting,0.04
polycystic ovary syndrome,anxiety,0.039
polycystic ovary syndrome,cyst,0.039
polycystic ovary syndrome,headache,0.038
polycystic ovary syndrome,lightheadedness,0.038
polycystic ovary syndrome,tenderness,0.033
polycystic ovary syndrome,irregular menstruation,0.03
polycystic ovary syndrome,sharp pain,0.03
post traumatic stress disorder,sadness,0.38
post traumatic stress disorder,depression,0.379
post traumatic stress disorder,anxiety,0.284
post traumatic stress disorder,thoughts of suicide,0.066
post traumatic stress disorder,seizures,0.057
post traumatic stress disorder,crying,0.04
post traumatic stress disorder,insomnia,0.025
post traumatic stress disorder,agitation,0.022
post traumatic stress disorder,substance abuse,0.018
post traumatic stress disorder,visual hallucinations,0.016
post traumatic stress disorder,hearing voices,0.016
post traumatic stress disorder,chronic back pain,0.015
post traumatic stress disorder,back pain,0.015
post traumatic stress disorder,paranoia,0.015
post traumatic stress disorder,diarrhea,0.015
post traumatic stress disorder,abdominal pain,0.014
post traumatic stress disorder,screaming,0.013
post traumatic stress disorder,nightmares,0.013
post traumatic stress disorder,anger,0.013
post traumatic stress disorder,panic attack,0.012
post traumatic stress disorder,loss of appetite,0.01
post traumatic stress disorder,falling,0.01
post traumatic stress disorder,racing thoughts,0.01
post traumatic stress disorder,tremor,0.009
post traumatic stress disorder,confusion,0.007
post traumatic stress disorder,itching,0.006
post traumatic stress disorder,fear,0.006
post traumatic stress disorder,bruising,0.005
post traumatic stress disorder,hopelessness,0.005
post traumatic stress disorder,fainting,0.004
post traumatic stress disorder,severe anxiety,0.004
post traumatic stress disorder,delirium,0.004
post traumatic stress disorder,vision loss,0.003
post traumatic stress disorder,poor appetite,0.003
prostate cancer,weakness,0.077
prostate cancer,blood in urine,0.062
prostate cancer,urinary retention,0.043
prostate cancer,pain,0.036
prostate cancer,bleeding,0.036
prostate cancer,constipation,0.032
prostate cancer,infection,0.024
prostate cancer,chills,0.023
prostate cancer,lethargy,0.023
prostate cancer,fever,0.023
prostate cancer,incontinence,0.022
prostate cancer,discomfort,0.022
prostate cancer,back pain,0.017
prostate cancer,bleeding from anus,0.016
prostate cancer,fatigue,0.016
prostate cancer,low blood pressure,0.015
prostate cancer,leaking of urine,0.014
prostate cancer,abdominal pain,0.014
psoriasis,sadness,0.066
psoriasis,depression,0.062
psoriasis,skin rash,0.056
psoriasis,redness,0.056
psoriasis,anxiety,0.055
psoriasis,swelling,0.047
psoriasis,chills,0.038
psoriasis,diarrhea,0.032
psoriasis,infection,0.028
psoriasis,lesion,0.022
psoriasis,itching,0.021
psoriasis,pain,0.019
psoriasis,nausea,0.018
psoriasis,fever,0.018
psoriasis,abdominal pain,0.016
psoriasis,lump,0.016
psoriasis,poor appetite,0.015
psoriasis,dry cough,0.014
psoriasis,pain during urination,0.013
psoriasis,plaque,0.012
psoriasis,joint pain,0.011
psoriasis,lightheadedness,0.011
psoriasis,red rashes,0.011
psoriasis,dry skin,0.011
psychosis,depression,0.206
psychosis,sadness,0.206
psychosis,agitation,0.105
psychosis,anxiety,0.087
psychosis,paranoia,0.083
psychosis,hearing voices,0.06
psychosis,visual hallucinations,0.039
psychosis,thoughts of suicide,0.035
psychosis,confusion,0.032
psychosis,screaming,0.032
psychosis,crying,0.023
psychosis,insomnia,0.021
psychosis,mental confusion,0.019
psychosis,wandering and getting lost,0.017
psychosis,substance abuse,0.017
psychosis,delirium,0.017
psychosis,racing thoughts,0.016
psychosis,manic episode,0.014
psychosis,seizures,0.014
psychosis,aggression,0.012
psychosis,fast heart rate,0.01
psychosis,dehydration,0.008
psychosis,delusion,0.008
psychosis,hallucination,0.007
psychosis,fear,0.007
psychosis,falling,0.006
psychosis,disorganized behavior,0.004
psychosis,anger,0.004
psychosis,tremor,0.004
psychosis,nightmares,0.004
psychosis,difficulty with bodily movement,0.004
psychosis,weight loss,0.004
psychosis,slurred speech,0.004
pulmonary embolism,shortness of breath,0.244
pulmonary embolism,fast heart rate,0.056
pulmonary embolism,chest pain worsened by breathing,0.049
pulmonary embolism,racing heartbeat,0.037
pulmonary embolism,swelling,0.036
pulmonary embolism,coughing,0.036
pulmonary embolism,low oxygen in the body,0.03
pulmonary embolism,fast breathing,0.026
pulmonary embolism,discomfort,0.023
pulmonary embolism,calf pain,0.023
pulmonary embolism,infection,0.02
pulmonary embolism,chest discomfort,0.019
pulmonary embolism,leg pain,0.019
pulmonary embolism,back pain,0.018
pulmonary embolism,chest tightness,0.018
pulmonary embolism,chills,0.018
pulmonary embolism,lump,0.017
pulmonary embolism,coughing up blood,0.015
pulmonary hypertension,shortness of breath,0.16
pulmonary hypertension,regurgitation,0.15
pulmonary hypertension,low oxygen in the body,0.053
pulmonary hypertension,coughing,0.039
pulmonary hypertension,fluid in the lungs,0.029
pulmonary hypertension,back pain,0.028
pulmonary hypertension,restless legs syndrome,0.021
pulmonary hypertension,infection,0.021
pulmonary hypertension,wheezing,0.018
pulmonary hypertension,respiratory distress,0.015
pulmonary hypertension,chest discomfort,0.014
pulmonary hypertension,cavity,0.014
pulmonary hypertension,malnutrition,0.013
pulmonary hypertension,slow heart rate,0.012
pulmonary hypertension,dry cough,0.012
pulmonary hypertension,drooping of upper eyelid,0.012
pulmonary hypertension,vertigo,0.011
pulmonary hypertension,cough with phlegm,0.011
pulmonary hypertension,depression,0.01
pulmonary hypertension,sadness,0.01
retinal detachment,vision loss,0.125
retinal detachment,blurred vision,0.065
retinal detachment,headache,0.057
retinal detachment,neck pain,0.041
retinal detachment,eye pain,0.039
retinal detachment,dehydration,0.024
retinal detachment,difficulty walking,0.023
retinal detachment,itching,0.02
retinal detachment,discomfort,0.018
retinal detachment,unequal pupils,0.017
retinal detachment,watery diarrhea,0.015
retinal detachment,bone loss,0.015
retinal detachment,partial loss of vision,0.014
retinal detachment,ear pain,0.013
retinal detachment,fast heart rate,0.012
retinal detachment,slow bodily movement,0.009
retinal detachment,low oxygen in the body,0.009
retinal detachment,vision disorder,0.009
retinal detachment,elevated alkaline phosphatase,0.009
retinal detachment,seeing spots,0.009
retinal detachment,abnormality walking,0.009
retinal detachment,malnutrition,0.009
rhabdomyolysis,dark urine,0.06
rhabdomyolysis,weakness,0.056
rhabdomyolysis,arm pain,0.055
rhabdomyolysis,muscle pain,0.045
rhabdomyolysis,swelling,0.043
rhabdomyolysis,cramping,0.03
rhabdomyolysis,leg pain,0.029
rhabdomyolysis,falling,0.024
rhabdomyolysis,numbness,0.022
rhabdomyolysis,bruising,0.022
rhabdomyolysis,lethargy,0.021
rhabdomyolysis,dehydration,0.02
rhabdomyolysis,substance abuse,0.018
rhabdomyolysis,confusion,0.017
rhabdomyolysis,sweating,0.016
rhabdomyolysis,kidney failure,0.016
rhabdomyolysis,fatigue,0.015
rhabdomyolysis,muscle weakness,0.015
rhabdomyolysis,blood in urine,0.015
rhabdomyolysis,seizures,0.015
rhabdomyolysis,slurred speech,0.015
rheumatoid arthritis,pain,0.211
rheumatoid arthritis,swelling,0.072
rheumatoid arthritis,fever,0.043
rheumatoid arthritis,knee pain,0.038
rheumatoid arthritis,joint pain,0.033
rheumatoid arthritis,infection,0.029
rheumatoid arthritis,acute episodes,0.026
rheumatoid arthritis,weakness,0.022
rheumatoid arthritis,shortness of breath,0.021
rheumatoid arthritis,diarrhea,0.02
rheumatoid arthritis,shoulder pain,0.018
rheumatoid arthritis,redness,0.017
rheumatoid arthritis,fatigue,0.016
rheumatoid arthritis,hip pain,0.015
rheumatoid arthritis,chills,0.015
rheumatoid arthritis,depression,0.013
rheumatoid arthritis,sadness,0.013
rheumatoid arthritis,lethargy,0.013
rheumatoid arthritis,wrist pain,0.013
rheumatoid arthritis,fast heart rate,0.012
rheumatoid arthritis,skin rash,0.011
rheumatoid arthritis,low blood pressure,0.01
schizophrenia,hearing voices,0.091
schizophrenia,depression,0.069
schizophrenia,sadness,0.069
schizophrenia,paranoia,0.055
schizophrenia,agitation,0.047
schizophrenia,anxiety,0.033
schizophrenia,thoughts of suicide,0.026
schizophrenia,visual hallucinations,0.021
schizophrenia,wandering and getting lost,0.015
schizophrenia,screaming,0.014
schizophrenia,confusion,0.014
schizophrenia,aggression,0.011
schizophrenia,seizures,0.011
schizophrenia,substance abuse,0.01
schizophrenia,racing thoughts,0.009
schizophrenia,difficulty with bodily movement,0.008
schizophrenia,crying,0.008
schizophrenia,insomnia,0.008
schizophrenia,tremor,0.007
schizophrenia,low blood pressure,0.006
schizophrenia,fast heart rate,0.006
schizophrenia,slurred speech,0.005
schizophrenia,panic attack,0.005
schizophrenia,anger,0.005
schizophrenia,low oxygen in the body,0.004
schizophrenia,mental confusion,0.004
schizophrenia,drooling,0.004
schizophrenia,excess thirst,0.003
schizophrenia,fear,0.003
schizophrenia,wheezing,0.003
sciatica,pain,0.627
sciatica,back pain,0.344
sciatica,leg pain,0.144
sciatica,numbness,0.106
sciatica,hip pain,0.076
sciatica,chronic back pain,0.05
sciatica,weakness,0.047
sciatica,incontinence,0.023
sciatica,tenderness,0.018
sciatica,difficulty walking,0.016
sciatica,leaking of urine,0.015
sciatica,limping,0.015
sciatica,leg numbness,0.013
sciatica,constipation,0.011
sciatica,severe pain,0.011
sciatica,lower extremity pain,0.011
sciatica,foot numbness,0.011
sciatica,crying,0.01
sciatica,acute episodes,0.009
sciatica,sharp pain,0.009
sciatica,flank pain,0.009
sciatica,pins and needles,0.009
sciatica,knee pain,0.008
sciatica,difficulty raising the foot,0.007
sciatica,groin pain,0.007
sciatica,nerve pain,0.006
seasonal allergies,coughing,0.122
seasonal allergies,nasal congestion,0.077
seasonal allergies,sore throat,0.07
seasonal allergies,headache,0.054
seasonal allergies,swelling,0.043
seasonal allergies,shortness of breath,0.042
seasonal allergies,cough with phlegm,0.034
seasonal allergies,redness,0.032
seasonal allergies,stuffy nose,0.032
seasonal allergies,runny nose,0.031
seasonal allergies,itching,0.03
seasonal allergies,wheezing,0.03
seasonal allergies,sneezing,0.027
seasonal allergies,anxiety,0.026
seasonal allergies,chills,0.022
seasonal allergies,dry cough,0.022
seasonal allergies,chest tightness,0.021
seasonal allergies,discomfort,0.021
seasonal allergies,sinus pressure,0.02
seasonal allergies,skin rash,0.019
seasonal allergies,eye redness,0.019
seasonal allergies,itchy eyes,0.018
seasonal allergies,ear pain,0.018
seasonal allergies,racing heartbeat,0.016
seasonal allergies,sadness,0.014
seasonal allergies,depression,0.014
seasonal allergies,fatigue,0.013
seasonal allergies,difficulty breathing,0.013
seasonal allergies,dizziness,0.013
sebaceous cyst,cyst,0.316
sebaceous cyst,swelling,0.181
sebaceous cyst,pain,0.161
sebaceous cyst,lump,0.151
sebaceous cyst,redness,0.116
sebaceous cyst,lesion,0.06
sebaceous cyst,muscle twitches,0.045
sebaceous cyst,brief visual or sensory abnormality,0.033
sebaceous cyst,bone loss,0.03
sebaceous cyst,discomfort,0.029
sebaceous cyst,drooping of upper eyelid,0.025
sebaceous cyst,fast heart rate,0.022
sepsis,fever,0.272
sepsis,low blood pressure,0.174
sepsis,infection,0.074
sepsis,chills,0.072
sepsis,fast heart rate,0.068
sepsis,confusion,0.063
sepsis,lethargy,0.051
sepsis,weakness,0.047
sepsis,coughing,0.039
sepsis,low oxygen in the body,0.027
sepsis,mental confusion,0.024
sepsis,kidney failure,0.022
sepsis,diarrhea,0.02
sepsis,respiratory distress,0.014
sepsis,malaise,0.014
sepsis,dehydration,0.013
sepsis,redness,0.013
sepsis,fast breathing,0.011
sepsis,abdominal pain,0.011
sepsis,shortness of breath,0.01
sepsis,vomiting,0.009
sepsis,fatigue,0.008
sepsis,low body temperature,0.006
sepsis,wheezing,0.006
sepsis,collapse,0.005
sepsis,malnutrition,0.005
sepsis,fluid in the abdomen,0.005
sepsis,difficulty breathing,0.005
shingles,skin rash,0.301
shingles,pain,0.278
shingles,nerve pain,0.047
shingles,itching,0.032
shingles,redness,0.031
shingles,flank pain,0.029
shingles,lesion,0.027
shingles,back pain,0.026
shingles,weakness,0.026
shingles,infection,0.024
shingles,lethargy,0.019
shingles,facial pain,0.016
shingles,sensitivity to light,0.016
shingles,ear pain,0.015
shingles,red rashes,0.015
shingles,eye pain,0.013
shingles,fatigue,0.012
shingles,arm pain,0.012
shingles,blister,0.011
shingles,rash on the face,0.008
shingles,facial swelling,0.008
shingles,swelling,0.008
shingles,stiffness,0.008
shingles,sharp pain,0.007
shingles,blurred vision,0.007
shingles,burning sensation,0.007
shingles,inflammation of ear,0.007
shingles,neck pain,0.005
shingles,weight loss,0.005
sickle cell anemia,pain,0.689
sickle cell anemia,back pain,0.147
sickle cell anemia,leg pain,0.1
sickle cell anemia,arm pain,0.068
sickle cell anemia,hip pain,0.056
sickle cell anemia,knee pain,0.05
sickle cell anemia,fever,0.044
sickle cell anemia,joint pain,0.043
sickle cell anemia,seizures,0.038
sickle cell anemia,infection,0.033
sickle cell anemia,shortness of breath,0.03
sickle cell anemia,malnutrition,0.028
sickle cell anemia,chest pain worsened by breathing,0.025
sickle cell anemia,acute episodes,0.024
sickle cell anemia,discomfort,0.022
sickle cell anemia,severe pain,0.022
sickle cell anemia,rib pain,0.021
sickle cell anemia,sharp pain,0.02
sickle cell anemia,coughing up blood,0.017
sickle cell anemia,coughing,0.015
sickle cell anemia,itching,0.015
sickle cell anemia,vomiting,0.015
sickle cell anemia,lower extremity pain,0.014
sickle cell anemia,nausea,0.013
sickle cell anemia,elbow pain,0.013
sickle cell anemia,pelvic pain,0.012
sickle cell anemia,vomiting blood,0.012
sinusitis,headache,0.172
sinusitis,coughing,0.144
sinusitis,fever,0.097
sinusitis,chills,0.082
sinusitis,nausea,0.079
sinusitis,nasal congestion,0.068
sinusitis,sinus pressure,0.062
sinusitis,sinus pain,0.061
sinusitis,dizziness,0.051
sinusitis,pain,0.044
sinusitis,sore throat,0.039
sinusitis,facial pain,0.037
sinusitis,tenderness,0.036
sinusitis,ear pain,0.029
sinusitis,infection,0.028
sinusitis,sensitivity to light,0.027
sinusitis,cough with phlegm,0.026
sinusitis,diarrhea,0.025
sinusitis,lethargy,0.024
sinusitis,fatigue,0.021
sinusitis,skin rash,0.019
sinusitis,neck pain,0.018
sinusitis,eye pain,0.018
sinusitis,stuffy nose,0.017
sinusitis,lightheadedness,0.015
sinusitis,inflammation of ear,0.014
sinusitis,blurred vision,0.014
sinusitis,discomfort,0.014
sinusitis,malaise,0.013
sinusitis,dry cough,0.013
sinusitis,vertigo,0.012
sinusitis,jaw pain,0.011
sinusitis,phlegm,0.011
sinusitis,shortness of breath,0.01
sinusitis,double vision,0.01
sleep apnea,depression,0.086
sleep apnea,sadness,0.086
sleep apnea,shortness of breath,0.045
sleep apnea,lethargy,0.044
sleep apnea,anxiety,0.032
sleep apnea,fatigue,0.028
sleep apnea,coughing,0.024
sleep apnea,snoring,0.014
sleep apnea,confusion,0.014
sleep apnea,chronic cough,0.013
sleep apnea,falling,0.013
sleep apnea,mental confusion,0.011
sleep apnea,chills,0.01
sleep apnea,erectile dysfunction,0.01
sleep apnea,malaise,0.009
sleep apnea,abdominal pain,0.009
sleep apnea,bone loss,0.009
sleep apnea,dizziness,0.009
sleep apnea,infection,0.008
sleep apnea,cough with phlegm,0.008
sleep apnea,episodes of no breathing,0.008
sleep apnea,skin rash,0.008
sleep apnea,seizures,0.008
sleep apnea,severe pain,0.008
sleep apnea,regurgitation,0.007
spondylosis,pain,0.254
spondylosis,weakness,0.115
spondylosis,back pain,0.104
spondylosis,neck pain,0.092
spondylosis,numbness,0.091
spondylosis,headache,0.064
spondylosis,sadness,0.063
spondylosis,depression,0.063
spondylosis,dizziness,0.043
spondylosis,incontinence,0.041
spondylosis,fainting,0.038
spondylosis,shoulder pain,0.037
spondylosis,lesion,0.033
spondylosis,chronic back pain,0.032
spondylosis,drooping of upper eyelid,0.032
spondylosis,tenderness,0.025
spondylosis,arm pain,0.023
spondylosis,anxiety,0.023
sprained ankle,pain,0.504
sprained ankle,swelling,0.461
sprained ankle,ankle pain,0.413
sprained ankle,tenderness,0.06
sprained ankle,foot pain,0.052
sprained ankle,bruising,0.037
sprained ankle,limping,0.033
sprained ankle,falling,0.027
sprained ankle,physical deformity,0.014
sprained ankle,difficulty walking,0.014
sprained ankle,ice pack,0.013
sprained ankle,calf pain,0.008
sprained ankle,throbbing pain,0.007
sprained ankle,severe pain,0.006
sprained ankle,discomfort,0.006
sprained knee,knee pain,0.495
sprained knee,pain,0.425
sprained knee,swelling,0.193
sprained knee,calf pain,0.049
sprained knee,leg pain,0.037
sprained knee,limping,0.035
sprained knee,tenderness,0.026
sprained knee,discomfort,0.02
sprained knee,falling,0.017
sprained knee,bruising,0.016
sprained knee,severe pain,0.013
sprained knee,ankle pain,0.012
sprained knee,ice pack,0.011
sprained knee,shoulder pain,0.01
sprained knee,difficulty walking,0.01
sprained knee,sharp pain,0.01
sprained knee,swollen joint,0.007
sprained wrist,pain,0.402
sprained wrist,wrist pain,0.323
sprained wrist,swelling,0.308
sprained wrist,hand pain,0.103
sprained wrist,tenderness,0.072
sprained wrist,falling,0.06
sprained wrist,knee pain,0.033
sprained wrist,physical deformity,0.029
sprained wrist,finger pain,0.029
sprained wrist,bruising,0.026
sprained wrist,arm pain,0.018
sprained wrist,numbness,0.016
sprained wrist,elbow pain,0.015
sprained wrist,ice pack,0.014
sprained wrist,mild pain,0.009
sprained wrist,ankle pain,0.009
sprained wrist,decreased range of motion,0.009
stomach flu,diarrhea,0.533
stomach flu,nausea,0.526
stomach flu,vomiting,0.474
stomach flu,pain,0.336
stomach flu,abdominal pain,0.242
stomach flu,chills,0.166
stomach flu,cramping,0.112
stomach flu,fever,0.089
stomach flu,dehydration,0.066
stomach flu,watery diarrhea,0.063
stomach flu,tenderness,0.053
stomach flu,pain in upper abdomen,0.041
stomach flu,dizziness,0.041
stomach flu,abdominal discomfort,0.028
stomach flu,discomfort,0.028
stomach flu,lethargy,0.027
stomach flu,weakness,0.026
stomach flu,fatigue,0.025
stomach flu,headache,0.023
stomach flu,lightheadedness,0.019
stomach flu,lower abdominal pain,0.015
stomach flu,malaise,0.011
stomach flu,low blood pressure,0.01
stomach flu,pain during urination,0.01
stomach flu,fast heart rate,0.009
stomach flu,blood in stool,0.008
stomach flu,abdominal tenderness,0.008
stomach flu,upper abdominal pain,0.008
stomach flu,anxiety,0.008
stomach flu,loss of appetite,0.008
stomach flu,muscle pain,0.006
stomach flu,dark stool from digested blood,0.006
stomach flu,intermittent abdominal pain,0.006
stomach flu,acute episodes,0.006
stomach flu,gagging,0.006
stomach flu,constipation,0.006
stomach flu,stomach cramps,0.005
stomach flu,discomfort in upper abdomen,0.005
stomach ulcer,pain,0.254
stomach ulcer,abdominal pain,0.12
stomach ulcer,nausea,0.119
stomach ulcer,sadness,0.109
stomach ulcer,depression,0.109
stomach ulcer,pain in upper abdomen,0.083
stomach ulcer,vomiting,0.074
stomach ulcer,diarrhea,0.037
stomach ulcer,bleeding,0.036
stomach ulcer,tenderness,0.034
stomach ulcer,vomiting blood,0.031
stomach ulcer,chills,0.026
stomach ulcer,malnutrition,0.018
stomach ulcer,seizures,0.013
stomach ulcer,lightheadedness,0.012
stomach ulcer,abdominal discomfort,0.011
stomach ulcer,dizziness,0.011
stomach ulcer,indigestion,0.011
stomach ulcer,wrist pain,0.01
stomach ulcer,shortness of breath,0.009
stomach ulcer,bowel obstruction,0.009
strep throat,sore throat,0.605
strep throat,fever,0.347
strep throat,pain,0.225
strep throat,chills,0.215
strep throat,coughing,0.159
strep throat,leaked fluid out of blood vessels or an organ,0.127
strep throat,difficulty swallowing,0.08
strep throat,headache,0.075
strep throat,ear pain,0.062
strep throat,redness,0.06
strep throat,swelling,0.058
strep throat,nausea,0.051
strep throat,neck pain,0.048
strep throat,infection,0.037
strep throat,nasal congestion,0.036
strep throat,fatigue,0.036
strep throat,painful swallowing,0.035
strep throat,lethargy,0.033
strep throat,vomiting,0.027
strep throat,dry cough,0.026
strep throat,tenderness,0.023
strep throat,diarrhea,0.021
strep throat,runny nose,0.021
strep throat,skin rash,0.021
strep throat,swollen tonsils,0.018
strep throat,malaise,0.017
strep throat,irritation of the tonsils,0.017
strep throat,neck swelling,0.017
strep throat,stiffness,0.016
strep throat,night sweats,0.015
strep throat,difficulty breathing,0.015
stroke,weakness,0.293
stroke,slurred speech,0.098
stroke,numbness,0.089
stroke,dizziness,0.078
stroke,headache,0.076
stroke,confusion,0.076
stroke,mental confusion,0.055
stroke,seizures,0.044
stroke,vertigo,0.028
stroke,malnutrition,0.027
stroke,weakness of one side of the body,0.026
stroke,blurred vision,0.022
stroke,problems with coordination,0.021
stroke,unsteady gait,0.021
stroke,difficulty speaking,0.015
stroke,double vision,0.013
stroke,vision loss,0.013
stroke,hand numbness,0.012
stroke,falling,0.012
stroke,fainting,0.011
stroke,lightheadedness,0.011
stroke,paralysis,0.01
stroke,difficulty swallowing,0.01
stroke,lethargy,0.009
